id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
162180,Nice flat in historical Galata,775317,Cigdem,,Beyoglu,41.02778,28.97628,Entire home/apt,1337,6,1,2011-09-25,0.01,1,365,0,
164216,Ottoman Flat 2BR @Taksim Square,783470,Aslinaz,,Beyoglu,41.03614,28.98163,Entire home/apt,1055,2,36,2019-01-03,0.35,3,362,0,
166265,Apartment in the Heart of the City1,792658,ISlK,,Beyoglu,41.03919,28.98266,Entire home/apt,452,3,156,2019-07-20,1.52,9,343,5,
168404,Charming Apt City Center Taksim,802569,Maria,,Beyoglu,41.03293,28.98853,Entire home/apt,1100,2,134,2015-10-27,1.17,1,364,0,
169106,Kiptas Seyrantepe Residence Flat,805693,Koray,,Maltepe,40.9476,29.16943,Entire home/apt,993,3,0,,,1,365,0,
170150,Lovely Gardened House 10 minutes walking to metro,810759,Tuna,,Uskudar,41.01713,29.06957,Entire home/apt,527,30,90,2021-08-19,0.83,2,253,5,
171593,Nice historical apartment in Galata,818744,Fırat,,Beyoglu,41.0278,28.97696,Entire home/apt,1432,7,3,2012-01-07,0.02,1,365,0,
183804,"IN THE CENTER OF CIHANGIR, ISTANBUL",825635,Merve,,Beyoglu,41.03029,28.98315,Entire home/apt,623,3,70,2019-11-08,1.64,3,357,3,
191058,Room with balcony in shared flat-for female guests,666066,Ali,,Beyoglu,41.02822,28.97777,Private room,167,20,26,2015-01-11,0.31,11,303,0,
191069,Private room in shared flat-for ONLY female guests,666066,Ali,,Beyoglu,41.02997,28.97612,Private room,145,16,25,2015-07-13,0.22,11,294,2,
199068,"Luxurious, specially designed...!",972196,Taskin,,Esenyurt,41.02719,28.68328,Private room,947,1,0,,,1,365,0,
199411,23JUN-01AUG/SUMMER DISCOUNT,973997,Shinnosuke,,Beyoglu,41.0297,28.97583,Entire home/apt,444,3,102,2015-12-08,0.84,1,348,2,
207933,GORGEOUS BOSPHORUS VIEW! COMFY ROOM,1023387,Daniele,,Beyoglu,41.03679,28.9921,Private room,390,3,10,2013-10-05,0.09,1,268,0,
213816,Stay near Bagdat Avenue - 3BR apt,767876,Pelin,,Kadikoy,40.97543,29.06553,Entire home/apt,668,3,28,2021-10-24,4.67,3,363,13,
214188,decent quality/price balance in Ist,1105099,Necip,,Fatih,41.01698,28.92835,Private room,167,20,40,2014-03-10,0.48,2,46,0,
220131,Charming Delightful Studio@Centre 4,466302,Demir,,Beyoglu,41.02874,28.9766,Entire home/apt,252,30,83,2019-08-29,0.83,12,362,0,
220149,Sultan,182639,Mehmet Ali,,Beyoglu,41.02845,28.97892,Entire home/apt,544,5,9,2013-07-03,0.08,6,364,0,
222535,Cozy apartment in Kuzguncuk,220212,Yesim,,Uskudar,41.03382,29.03173,Entire home/apt,612,3,28,2016-01-13,0.35,3,358,2,
223519,We are in the center of Istanbul!,1162133,Tamer,,Kadikoy,40.97033,29.09902,Private room,259,1,4,2011-10-06,0.03,1,364,0,
224612,My nice flat in Nisantasi/,1169188,Esin,,Sisli,41.05585,28.99103,Private room,445,5,0,,,1,365,0,
224910,The Heart of Istanbul,1171112,Marya,,Basaksehir,41.10619,28.73866,Entire home/apt,1114,1,0,,,1,365,0,
226255,Harem,182639,Mehmet Ali,,Beyoglu,41.02865,28.97919,Entire home/apt,544,5,10,2012-08-23,0.08,6,365,0,
227513,"2002 Downtown Sultanahmet,superior apart",1186560,Ramiz,,Fatih,41.0029,28.97787,Private room,535,1,62,2019-07-05,0.81,4,337,2,
229498,Cozy studio apartment in Cihangir,1167189,Bilgehan,,Beyoglu,41.03077,28.98118,Entire home/apt,709,4,114,2018-09-01,0.98,2,315,0,
238904,2  PRIVATE ROOMS IN SULTANAHMET,1252482,Ramazan,,Fatih,41.0068,28.97874,Private room,623,1,0,,,1,365,0,
244604,FULL EQUIPPED FLAT IN OLD ISTANBUL,1283374,Timur,,Fatih,41.01379,28.9416,Private room,835,2,0,,,1,365,0,
247874,"Istiklal Avenue,Sadri alisik street",1298849,Berkan,,Beyoglu,41.03433,28.98221,Entire home/apt,207,2,166,2021-09-22,2.62,2,28,11,
251414,"Apartment in Montmartre, Paris",1318632,Bahar,,Beyoglu,41.03203,28.98564,Entire home/apt,556,7,1,2012-01-06,0.01,1,358,0,
253055,CIHANGIR | Stunning Bosphorus View!,852380,Ilker,,Beyoglu,41.03297,28.98488,Entire home/apt,1167,3,70,2020-10-13,0.61,4,358,2,
253859,A boutique experience in Istanbul,1333286,Erdal,,Beyoglu,41.03324,28.9811,Private room,1000,1,0,,,1,365,0,
254664,Sur la place de la tour de Galata,1337721,Hervé,,Beyoglu,41.02437,28.9748,Entire home/apt,1111,2,0,,,1,365,0,
256825,BLUE Mosque walking&Grand pazar مشي لكل مكان,1351134,Bãśmä,,Fatih,41.01234,28.94558,Private room,177,3,227,2019-12-12,2.10,15,83,2,
256838,"Down town,walk to everywhereوسط اسطنبول يوسف باشا",1351134,Bãśmä,,Fatih,41.01232,28.94706,Private room,156,3,17,2019-05-06,0.20,15,77,2,
259206,Cosy Flat at the Center of ISTANBUL,1323348,Feride,,Sisli,41.06276,28.99466,Entire home/apt,431,2,33,2021-07-29,0.86,4,253,1,
260378,Bright and characterful in Galata!,1366111,Julia & Tarkan,,Beyoglu,41.02625,28.97276,Entire home/apt,1243,3,116,2021-08-10,1.33,15,354,20,
262910,A clean and big room for you,1379693,Burcu,,Kadikoy,40.98308,29.08013,Private room,223,1,0,,,1,365,0,
265297,"Sunny Flat for Room Price, Taksim",1391673,Serkan,,Sisli,41.045,28.9863,Entire home/apt,477,2,2,2012-05-28,0.02,1,91,0,
265772,Furnished Flats & Historical Room,1393796,Hülya,,Sisli,41.05635,28.98644,Private room,383,1,0,,,2,365,0,
270561,"Minuet 2TRAM Street,Yusufpasha اتفضلوااهلاًبكم",1351134,Bãśmä,,Fatih,41.01077,28.94512,Private room,151,3,152,2019-07-02,1.61,15,67,0,
270883,only 10 minutes to Sultanahmet,1417732,Tayfun,,Fatih,41.0248,28.94738,Entire home/apt,557,7,0,,,1,365,0,
271439,Charming Delightful Studio@Centre 3,466302,Demir,,Beyoglu,41.02669,28.97594,Entire home/apt,263,3,151,2018-09-11,1.31,12,299,7,
274454,"Galateia Apartments,1 BR up to 4",1435301,Galateia,,Beyoglu,41.02961,28.97643,Entire home/apt,1889,30,0,,,2,365,0,
276621,Room TRAM STREET اتفضلوا اهلاً بيكم,1351134,Bãśmä,,Fatih,41.01143,28.94603,Shared room,133,2,79,2016-04-07,0.92,15,167,0,
277581,Standard Suites,1449395,Emre,,Kadikoy,40.99259,29.02534,Entire home/apt,423,3,31,2019-11-25,0.48,3,287,3,
277589,Spacious Family Apt in Kadiköy,1449395,Emre,,Kadikoy,40.99462,29.02552,Entire home/apt,724,3,8,2018-01-28,0.13,3,305,0,
277592,1+1 65m2 Deluxe Suitler,1449395,Emre,,Kadikoy,40.99295,29.02656,Entire home/apt,501,3,46,2016-07-15,0.58,3,345,0,
280227,Asian Side Apartment with SEA VIEW,1460766,Birim,,Kadikoy,40.97521,29.04125,Entire home/apt,949,4,0,,,2,364,0,
282148,"High Quality, Professionally Managed Apt in Galata",1470523,Zeynep,,Beyoglu,41.02485,28.97338,Entire home/apt,968,3,76,2021-08-30,1.14,4,348,9,
282266,Design chic serviced apt in Galata.,1470523,Zeynep,,Beyoglu,41.02485,28.97338,Entire home/apt,1000,3,41,2021-07-04,0.48,4,364,6,
282289,Modern serviced flat in Galata,1470523,Zeynep,,Beyoglu,41.02485,28.97338,Entire home/apt,968,3,93,2021-10-02,1.26,4,358,17,
282295,"Professionally Managed, High Quality Apt in Galata",1470523,Zeynep,,Beyoglu,41.02485,28.97338,Entire home/apt,889,3,89,2021-10-27,2.05,4,348,20,
282881,"top location,bright & cozy 2bdr apt",353220,Özge,,Beyoglu,41.02845,28.97049,Entire home/apt,1111,1,57,2016-09-11,0.66,1,0,0,
287982,Lovely Room at the heart of İSTANBL,1323348,Feride,,Sisli,41.06354,28.99397,Private room,192,1,10,2016-01-15,0.14,4,252,0,
287983,CENTRAL&SAFETY Location Bright Room,1323348,Feride,,Sisli,41.06157,28.99525,Private room,223,2,58,2014-10-22,0.64,4,253,0,
293754,2 bedr apart 5 mins from Airport,1497897,Mehmet Emin,,Bahcelievler,40.99144,28.84474,Entire home/apt,991,3,4,2019-05-19,0.08,2,365,0,
297040,"Galateia  Bosphorus, 1BR w Terrace",1435301,Galateia,,Beyoglu,41.02954,28.97551,Entire home/apt,2222,1,0,,,2,365,0,
304011,Beyoglu/Center with Beautiful View,1564870,Living,,Beyoglu,41.03537,28.97316,Entire home/apt,532,3,18,2021-07-29,0.23,2,265,7,
304029,Zero km to City Center -- Friendly,1564916,Esen,,Sisli,41.05382,28.99028,Private room,211,2,35,2016-11-02,0.33,1,333,0,
305801,Sweet Garden  House,1572930,Mehmet,,Besiktas,41.05091,29.02262,Private room,239,2,2,2012-10-01,2,1,365,1,
316220,pvt Apt ◆ Anatolian Side of Istnbul,1624077,Can,,Uskudar,41.02466,29.03419,Entire home/apt,390,1,0,,,1,365,0,
318933,lovely home with sea view,1128679,Akın Savaş,,Kadikoy,40.9821,29.02276,Entire home/apt,430,45,13,2018-01-02,0.18,1,322,2,
324576,Family  Apartment with Private Hammam,1667741,Ceyhun,,Fatih,41.00409,28.97903,Entire home/apt,1659,1,1,2018-03-24,0.02,5,365,0,
330043,İstanbul Beyoğlu Cihangir,1677640,Didem,,Beyoglu,41.03107,28.98585,Private room,778,1,0,,,1,364,0,
338403,120m2 private apart Taxim.,1719162,Emre,,Sisli,41.04099,28.98675,Entire home/apt,1336,2,7,2014-05-05,0.06,1,365,0,
338540,Walk to GRAND pazarيوسف باشا مشي لبيازيت,1351134,Bãśmä,,Fatih,41.01237,28.94659,Private room,152,3,62,2019-05-21,0.76,15,78,0,
341852,on Galata Roofs.  Super central istiklal avenue,1734426,Lino And Gioia,,Beyoglu,41.03415,28.98102,Entire home/apt,467,2,28,2019-09-14,0.34,3,301,0,
350818,Furnished Double BR with Breakfast,1778050,Ali Sinan,,Beyoglu,41.03137,28.97318,Private room,1225,1,0,,,1,365,0,
351006,Full Bosphorus Sea View ◆ near Park,1664518,Gokce Doruk,,Uskudar,41.02962,29.02154,Private room,390,2,0,,,1,365,0,
351790,in the city center,1782227,İnan,,Sisli,41.07587,29.00994,Hotel room,1150,10,2,2015-05-23,0.03,1,365,0,
355170,Modern Deluxe Studio Near to Taksim,730566,Murat,,Beyoglu,41.03788,28.98258,Private room,667,1,0,,,3,364,0,
360053,Modern Flat 30m to Istiklal- Taksim,1821399,Hakan,,Beyoglu,41.0339,28.9826,Entire home/apt,667,30,0,,,1,365,0,
362196,Apartment in the Heart of the City2,792658,ISlK,,Beyoglu,41.03915,28.98273,Entire home/apt,422,3,110,2021-08-06,1.27,9,356,9,
362228,Studio in the Heart of the City 1,792658,ISlK,,Beyoglu,41.03911,28.98266,Entire home/apt,386,3,171,2021-03-28,1.87,9,336,16,
362494,Single Room  @Taksim Downtown,1806816,Kaboom Guest House,,Beyoglu,41.03471,28.97347,Private room,100,1,5,2021-10-10,1.95,7,151,3,
364077,A single room in Istanbul - Kadikoy,1839212,Ferhat,,Kadikoy,40.99547,29.03697,Private room,390,2,0,,,1,365,0,
371112,Stylish 2 bedroom in Cihangir,1869420,Asli-Ali,,Beyoglu,41.0321,28.98308,Entire home/apt,726,2,72,2016-08-24,0.66,2,37,4,
374837,Charming Delightful Studio@Centre 2,466302,Demir,,Beyoglu,41.02752,28.97705,Entire home/apt,240,1,128,2019-11-06,1.15,12,272,2,
380072,"truly unique accommodation,Istanbul",1907609,Filiz,,Besiktas,41.0555,28.99978,Private room,1830,1,0,,,1,365,0,
385296,"Lot's of Light, Lot's of Green!",734040,Can,,Sariyer,41.08538,29.05278,Private room,213,3,23,2019-08-08,5.35,2,345,10,
398075,Charming Delightful Studio@Centre 1,466302,Demir,,Beyoglu,41.02728,28.97705,Entire home/apt,286,3,77,2021-09-07,0.84,12,311,9,
401359,Central Apt. in Popular Nisantaşı,2002975,Jülide,,Sisli,41.0493,28.99618,Private room,527,3,1,2012-04-02,0.01,1,365,0,
408294,Istanbul Postcard View (Asian Side),2033076,Baris,,Uskudar,41.01502,29.01303,Entire home/apt,719,5,23,2014-09-09,0.21,1,242,1,
412766,Безупречночисто CasaLoBueno#1 Splendid GalataTower,2054075,Doret & Izel,,Beyoglu,41.0295,28.97351,Entire home/apt,973,4,76,2019-08-24,0.82,4,345,6,
422001,Cozy Room @ Kaboom Guesthouse,1806816,Kaboom Guest House,,Beyoglu,41.03519,28.97177,Private room,148,2,9,2020-09-30,0.12,7,151,0,
422071,Cozy Flat 1BR @Taksim Square,783470,Aslinaz,,Beyoglu,41.03666,28.98093,Entire home/apt,722,2,63,2019-10-03,0.66,3,362,0,
429200,Pasha,182639,Mehmet Ali,,Beyoglu,41.02871,28.97935,Entire home/apt,544,5,1,2012-09-09,0.01,6,181,0,
447142,Ottoman istanbul..Yusufpasha Tram ترام يوسف باشا,1351134,Bãśmä,,Fatih,41.01038,28.94676,Private room,185,2,24,2013-05-14,0.25,15,77,1,
453816,Room in Central Istanbul / Cihangir,2254723,Yesim,,Beyoglu,41.03044,28.98298,Private room,278,2,18,2014-07-06,0.21,1,337,0,
457790,Old City Sultanahmet Apart Istanbul,2231981,Adar,,Fatih,41.00456,28.96857,Entire home/apt,735,3,120,2019-04-14,1.05,13,365,0,
469638,Near the bosphorus,2330281,Omer,,Besiktas,41.06782,29.04236,Entire home/apt,507,2,27,2019-04-21,0.28,2,362,1,
469811,"Couple friendly, Cute Roof w terrace in Beyoglu",2331089,Mehmet,,Beyoglu,41.03085,28.97494,Entire home/apt,546,2,45,2020-09-23,1.10,5,0,3,
478289,ULTRA LUXE RESIDENCE WITH FREE SWIM.POOL ETC,2368759,Angie,,Basaksehir,41.0718,28.67921,Entire home/apt,668,6,12,2017-07-07,0.16,1,364,0,
484153,"comfy room in Taksim, Istanbul",2395401,Özgür,,Sisli,41.04418,28.98344,Private room,134,7,3,2018-04-16,0.04,1,358,0,
499401,"Fair, clean & comfy Apt - Beyoglu",2464199,Fahrettin,,Beyoglu,41.03185,28.97146,Entire home/apt,2227,10,9,2013-07-20,0.08,5,364,0,
507117,Duplex Penthouse Central Located,2499854,Ozan,,Sisli,41.05739,28.9955,Private room,255,1,2,2017-05-18,0.02,1,363,0,
511597,Flats in Taksim 2 min. to square #2,2519004,Vedat Öz,,Bagcilar,41.03183,28.84544,Entire home/apt,557,2,2,2013-03-15,0.02,1,365,0,
511807,decent price/quality balance in Ist,1105099,Necip,,Fatih,41.01667,28.9303,Private room,111,20,9,2015-06-30,0.08,2,123,0,
516610,Nakkas Apart,2543742,Nakkas,,Fatih,41.0056,28.9704,Entire home/apt,1214,1,3,2012-11-28,0.03,2,365,0,
516720,Very central place-small room for 1,2544222,Biray Anil,,Sisli,41.06193,28.98508,Private room,111,1,42,2014-10-02,0.38,1,151,0,
519364,Elegance and high quality with breezy sea views,1366111,Julia & Tarkan,,Beyoglu,41.02618,28.9761,Entire home/apt,1592,3,84,2021-08-07,1.42,15,319,20,
519468,"Cosy charm, fabulous terrace views in Galata!",1366111,Julia & Tarkan,,Beyoglu,41.02496,28.97311,Entire home/apt,1811,3,127,2021-08-28,1.94,15,306,31,
520072,Room in Anatolian side of Istanbul,2404749,Sabite,,Kadikoy,40.98141,29.04636,Private room,144,1,0,,,1,365,0,
520189,"Cosy with frescoes, terrace views in Galata!",1366111,Julia & Tarkan,,Beyoglu,41.02815,28.97333,Entire home/apt,1243,3,104,2021-07-07,1.42,15,258,15,
520238,Stylish gem with amazing charm and nightlife buzz!,1366111,Julia & Tarkan,,Beyoglu,41.03567,28.97792,Entire home/apt,743,3,202,2021-10-14,2.59,15,336,32,
522700,2 Bedrooms & Galata & Best Design,2570612,Ahmet,,Beyoglu,41.02718,28.9742,Entire home/apt,1100,2,94,2016-05-23,0.88,9,365,0,
536465,Spacious room in 2br renovated flat,2248444,Pinar,,Beyoglu,41.03807,28.97582,Private room,153,3,17,2021-07-13,0.22,4,350,1,
536526,"A Lovely, Modern, 1bd Apt in Center",2248444,Pinar,,Beyoglu,41.03806,28.97582,Entire home/apt,335,2,54,2020-03-25,0.48,4,152,0,
538538,flat in a safe & quiet district,2645069,Mehmet,,Kadikoy,41.00931,29.04331,Private room,288,1,0,,,1,365,0,
538833,Very Central Room With Sea View,2646839,Hexagram,,Beyoglu,41.03068,28.98372,Private room,527,1,47,2014-10-10,0.49,3,0,0,
541629,Apartment flat entrance - Beyoglu,2464199,Fahrettin,,Beyoglu,41.03008,28.97035,Entire home/apt,1670,10,22,2017-07-18,0.20,5,364,0,
541989,Beautiful Triplex in City Center,2664929,Figen,,Besiktas,41.07538,29.03549,Entire home/apt,1150,5,13,2018-05-28,0.14,1,358,0,
542354,Nakkas Apart with Sea View,2543742,Nakkas,,Fatih,41.00503,28.97058,Private room,1336,1,0,,,2,365,0,
546900,Very modern Apartment in Gayrettepe,2689464,Murat,,Besiktas,41.0638,29.00437,Private room,1548,1,0,,,1,365,0,
553222,Cozy room in 2br renovated flat,2248444,Pinar,,Beyoglu,41.03806,28.97581,Private room,144,3,24,2019-08-05,0.53,4,334,2,
555588,Historical Istanbul House @ Taksim,2731976,Daniel,,Sisli,41.04251,28.98788,Entire home/apt,470,3,301,2021-09-26,2.72,2,245,9,
556293,A duplex @ heart of shop & dine,135136,Ozlem,,Sisli,41.05352,28.99886,Entire home/apt,1225,2,1,2016-01-01,0.01,2,1,0,
559714,Blue Suites by V Sultanahmet Deluxe,2751565,Volkan,,Fatih,41.00507,28.98081,Entire home/apt,1782,2,14,2021-10-03,0.57,3,358,5,
565598,"Fully furnished penthouse, Beyoglu",2781217,Fatma,,Beyoglu,41.036,28.97583,Entire home/apt,278,3,91,2020-11-21,1.34,7,242,5,
568306,"Economic Apt @ Taksim SQ, Beyoglu",225378,Goksel,,Beyoglu,41.0343,28.97999,Private room,500,3,0,,,2,365,0,
568452,Terraced Ottoman Villa,2797172,Piril,,Sariyer,41.16389,29.04211,Private room,1670,5,2,2015-09-05,0.02,4,365,0,
570021,Designer Penthouse in Trendy Bebek,2779211,Bora,,Besiktas,41.08232,29.04265,Entire home/apt,1438,2,16,2019-08-15,0.14,1,334,0,
571088,simple&clean room with amazin view in galata,2678583,Umut,,Beyoglu,41.02626,28.97673,Private room,556,7,16,2012-07-24,0.14,3,89,0,
575482,"LARGE, SAFE & COMFORTABLE FLAT",2266179,Seyda Mari,,Sisli,41.05606,28.9832,Entire home/apt,642,2,152,2020-12-11,1.40,3,182,2,
575662,Terraced Ottoman Villa - Room 1,2797172,Piril,,Sariyer,41.16357,29.04244,Private room,668,5,2,2016-10-26,0.02,4,365,0,
576358,comfortable and  central location,2464199,Fahrettin,,Beyoglu,41.03162,28.9715,Entire home/apt,1845,10,23,2018-08-02,0.29,5,364,0,
576398,Terraced Ottoman Villa - Room 2,2797172,Piril,,Sariyer,41.16267,29.04337,Private room,668,5,0,,,4,365,0,
576414,Terraced Ottoman Villa - Room 3,2797172,Piril,,Sariyer,41.16257,29.04247,Private room,445,5,1,2012-12-23,0.01,4,365,0,
576710,"CENTRAL PART OF ISTANBUL,TAXIM",2836764,Cerith,,Sisli,41.04369,28.98251,Entire home/apt,383,2,25,2014-05-18,0.23,3,365,0,
581815,STUDiO FLAT /ERASMUS STUDENT (İST,2951165,Şermin,,Sisli,41.05019,28.98696,Entire home/apt,620,3,0,,,2,179,0,
583129,double BR @ the heart of Cihangir,2872780,Galata,,Beyoglu,41.02567,28.9751,Private room,668,1,0,,,1,365,0,
585043,amazing room with bosphorus view in galata,2678583,Umut,,Beyoglu,41.02626,28.97673,Private room,556,7,11,2014-05-09,0.10,3,90,0,
591954,Cosy Double Room with Huge Terrace!,2541656,Başak,,Besiktas,41.05193,29.00551,Private room,223,120,46,2021-02-04,0.55,11,282,1,
592336,Room in Kadikoy/Istanbul,2924046,Ezgi,,Kadikoy,40.98628,29.03288,Private room,445,1,0,,,2,365,0,
597148,Flat and roomIN OLDCITY SULTANAHMET,2952503,Adem,,Fatih,41.00419,28.97035,Private room,1368,1,0,,,1,365,0,
598415,Double room in Avenue Bagdat Apart,767876,Pelin,,Kadikoy,40.97655,29.06465,Private room,278,5,7,2018-12-15,0.07,3,363,0,
607323,Blue Suites by V 1 Sultanahmet,2751565,Volkan,,Fatih,41.00685,28.98025,Hotel room,445,1,83,2019-10-01,0.95,3,358,0,
607344,Blue Suites by V 2 Sultanahmet,2751565,Volkan,,Fatih,41.00512,28.97901,Hotel room,445,1,36,2019-10-20,0.46,3,358,0,
610111,Enjoy the sea view rooms & terrace,3025239,Yasemin,,Fatih,40.99791,28.93114,Private room,605,1,0,,,1,365,0,
610875,Full furnished flat in Beyoglu/IST,2963950,Bilal,,Beyoglu,41.03837,28.98309,Entire home/apt,945,1,0,,,1,365,0,
612327,Spacious Design Apartment on trendy Galata Square,2911496,Nadira,,Beyoglu,41.02699,28.97475,Entire home/apt,1000,3,215,2021-10-23,1.97,1,343,9,
617961,Historical Flat in Galata,3061457,Faik,,Beyoglu,41.02574,28.97505,Private room,322,360,0,,,1,365,0,
618156,"Sultanahmet-Istanbul, Adalar Suite",2999837,Saban,,Fatih,41.00417,28.96604,Entire home/apt,318,1,69,2021-04-19,0.97,13,344,13,
630494,Rooms with a Mystical Garden,3134482,Alper,,Beyoglu,41.03203,28.98853,Shared room,557,1,0,,,1,365,0,
630800,Cozy Flat in Cihangir - Prime Location !,485384,Alev,,Beyoglu,41.03161,28.98341,Entire home/apt,332,3,43,2020-03-13,0.42,2,205,5,
632120,COSY PLACE AT ISTANBUL NISANTASI,3144818,Semih,,Sisli,41.05324,28.99166,Entire home/apt,958,5,14,2021-05-25,0.13,5,323,2,
638542,Urban Bridge Loft - 3BR - 2BA - Galata,2618254,Dodo,,Beyoglu,41.02763,28.97595,Entire home/apt,2005,4,190,2019-12-19,2.19,3,87,1,
639951,Spacious Flat with Small Private Backyard,3195183,Efe & Memet,,Besiktas,41.04394,29.00689,Entire home/apt,334,2,32,2021-09-17,25.95,4,343,5,
644669,Apartment with nice bosphorus view,3153138,Erman,,Beyoglu,41.02445,28.9749,Private room,556,2,0,,,1,365,0,
646784,"Rooftop terrace, tower& water views",3242426,Kadir,,Beyoglu,41.02565,28.97398,Entire home/apt,1555,1,78,2021-07-09,0.99,12,315,8,
649095,simple&clean apt w/ amazing view,2678583,Umut,,Beyoglu,41.0257,28.97649,Entire home/apt,667,3,88,2019-11-18,0.98,3,179,0,
651039,"Quiet, spacious, with patio garden",3242426,Kadir,,Beyoglu,41.0304,28.98238,Entire home/apt,889,2,28,2021-08-29,0.36,12,361,1,
651276,"Cozy, high ceilings & marble floors",3242426,Kadir,,Beyoglu,41.03171,28.97994,Entire home/apt,667,2,10,2019-03-30,0.10,12,331,1,
